Comment,Designator,Footprint,LCSC,Quantity
0,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,1
0.05uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C53134,1
0.22u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5378,1
100nF,"C11,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,4
10K,"R1,R10,R13,R18,R20,R22,R24,R28,R3,R30,R31,R32,R33,R35,R38,R5,R7,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,18
1nF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653,1
1uF,"C1,C10,C2,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,4
20uF,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,1
220,"R23,R25,R26,R34,R36,R39",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17557,6
300,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17617,1
30K,"R17,R19,R21",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17621,3
470,"R14,R27,R37,R40",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,4
47K,"R29,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,2
47uF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,1
5K6,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382,1
ADS1115IDGS,U1,VSSOP-10_3x3mm_P0.5mm,C37593,1
BSS138,"Q1,Q2,Q3,Q4",SOT-23,C7420339,4
LM4050AEM3-3.0+T,IC2,SOT95P237X112-3N,C1575498,1
Heater SSR Relay,CN5,280377-2_TYC,,1
1K5,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
LM1830N,U2,PDIP14_19P56X6P35_ONS,,1
705530041,J5,CONN_70553-xxxx_07_MOL,,1
MISC LEDS,CN6,280389-2_TYC,,1
HV Board,J2,PinHeader_1x06_P2.00mm_Vertical,,1
Brew switch,CN7,280377-2_TYC,,1
AQV212,IC1,DIP762W47P254L880H410Q6N,,1
IE092503-1,U3,IE0925031,,1
Sensor brew boiler,CN4,280377-2_TYC,,1
10K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
705530002,J4,CONN_705530002_03_MOL,,1
1-100k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Water level detector,CN2,280377-2_TYC,,1
Boiler fill sensor,CN1,280377-2_TYC,,1
10K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Arduino_Nano_ESP32,A1,Arduino_Nano,,1
Sensor steam boiler,CN3,280377-2_TYC,,1
