Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_ESP32,Arduino_Nano,93.62,-95.88,-90.0,top
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.8,-73.4,0.0,top
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.0,-107.4,-90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.8,-107.2,90.0,top
C12,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6,-107.2,-90.0,top
C13,20uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.6,-85.2,0.0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.8,-77.333333,0.0,top
C3,0.22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.2,-83.4,90.0,top
C4,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.0,-89.4,0.0,top
C5,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.8,-77.333333,180.0,top
C6,0.05uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.0,-93.6,0.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.0,-106.6,180.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.6,-108.2,0.0,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.8,-73.4,180.0,top
CN1,Boiler fill sensor,280377-2_TYC,121.23,-111.5,0.0,top
CN2,Water level detector,280377-2_TYC,130.73,-68.5,180.0,top
CN3,Sensor steam boiler,280377-2_TYC,130.27,-111.5,0.0,top
CN4,Sensor brew boiler,280377-2_TYC,122.23,-68.499999,180.0,top
CN5,Heater SSR Relay,280377-2_TYC,112.27,-111.5,0.0,top
CN6,MISC LEDS,280389-2_TYC,111.19,-69.769999,180.0,top
CN7,Brew switch,280377-2_TYC,103.27,-111.5,0.0,top
IC1,AQV212,DIP762W47P254L880H410Q6N,120.6,-100.6,-90.0,top
IC2,LM4050AEM3-3.0+T,SOT95P237X112-3N,116.2,-84.2,-90.0,top
J2,HV Board,PinHeader_1x06_P2.00mm_Vertical,77.0,-114.0,90.0,top
J4,705530002,CONN_705530002_03_MOL,98.96,-68.5,180.0,top
J5,705530041,CONN_70553-xxxx_07_MOL,82.77,-68.5,180.0,top
Q1,BSS138,SOT-23,80.6,-78.6,90.0,top
Q2,BSS138,SOT-23,100.6,-107.4,-90.0,top
Q3,BSS138,SOT-23,85.8,-78.6,90.0,top
Q4,BSS138,SOT-23,75.2,-78.6,90.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.4,-78.6,90.0,top
R10,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,74.0,-110.0,180.0,top
R11,5K6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.6,-83.6,-90.0,top
