Comment,Designator,Footprint,LCSC,Quantity
100,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
10K,"R1,R28",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,2
1k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,1
BAT46WJ_115,"U3,U4",SC-90_SOD323F_NEX,C7502692,2
BSS138,"Q1,Q2",SOT-23,C7420339,2
ALDP112,U2,PAN_ALD_PAN,,1
H11L1,U5,H11L1_ISO,,1
47k,R6,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,,1
0034.6808,F1,FUS_SCHURTER_0034_SCH,,1
W04G,D1,Diode_Bridge_Round_D9.8mm,,1
47k,R5,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,,1
7178DG,H1,7178DG,,1
MOC3021M,U7,PDIP6_BX_ONS,,1
230 Live,FA1,1606502,,1
VJ2220Y103KXUSTX2,C1,CAPC5651X218N,,1
Pump Relay,FA11,1606502,,1
39,R11,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,,1
RT314A12,K1,Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm,,1
3413.0215.22,F4,FUS1206_24N_SCH,,1
230 Neutral,FA4,1606502,,1
BTA16-600BWRG,Q3,TO255P460X1020X2005-3P,,1
PumpOut,FA10,1606502,,1
100uF,C3,CP_Radial_D6.3mm_P2.50mm,,1
330,R9,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,,1
Coffee Relay,FA7,1606502,,1
ECE10US12,U1,RELAY4_ECE10_XPR,,1
0697H9100-02,F2,0697_BEL,,1
Controller board,J6,PinHeader_1x06_P2.00mm_Vertical,,1
