Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,VJ2220Y103KXUSTX2,CAPC5651X218N,149.6,-98.4,-90.0,top
C3,100uF,CP_Radial_D6.3mm_P2.50mm,135.0,-56.25,90.0,top
D1,W04G,Diode_Bridge_Round_D9.8mm,177.005,-90.515,-90.0,top
F1,0034.6808,FUS_SCHURTER_0034_SCH,168.96,-100.5,180.0,top
F2,0697H9100-02,0697_BEL,168.0,-90.865,90.0,top
F4,3413.0215.22,FUS1206_24N_SCH,117.5268,-57.2,180.0,top
FA1,230 Live,1606502,177.5,-100.45,-90.0,top
FA10,PumpOut,1606502,129.5,-100.45,-90.0,top
FA11,Pump Relay,1606502,124.5,-100.45,-90.0,top
FA4,230 Neutral,1606502,157.5,-100.45,-90.0,top
FA7,Coffee Relay,1606502,141.5,-100.45,-90.0,top
H1,7178DG,7178DG,167.4,-79.0,90.0,top
J6,Controller board,PinHeader_1x06_P2.00mm_Vertical,121.8,-54.5,90.0,top
K1,RT314A12,Relay_SPDT_Schrack-RT1-16A-FormC_RM5mm,123.0,-75.77,-90.0,top
Q1,BSS138,SOT-23,123.5625,-58.5,0.0,top
Q2,BSS138,SOT-23,136.05,-62.4375,-90.0,top
Q3,BTA16-600BWRG,TO255P460X1020X2005-3P,171.0,-79.05,90.0,top
R1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.0,-59.6,0.0,top
R11,39,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,140.8,-94.2,0.0,top
R28,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.0,-57.0,0.0,top
R5,47k,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,179.045,-65.9,90.0,top
R6,47k,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,179.0,-78.4,90.0,top
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.0,-93.5,180.0,top
R8,86.6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.6,-61.4,90.0,top
R9,330,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,177.2,-57.6,-90.0,top
U1,ECE10US12,RELAY4_ECE10_XPR,150.865,-72.5,90.0,top
U2,ALDP112,PAN_ALD_PAN,133.9995,-78.0508,180.0,top
U3,BAT46WJ_115,SC-90_SOD323F_NEX,119.0,-59.5,0.0,top
U4,BAT46WJ_115,SC-90_SOD323F_NEX,135.0,-66.0,180.0,top
U5,H11L1,H11L1_ISO,169.8,-67.0,180.0,top
U7,MOC3021M,PDIP6_BX_ONS,169.8,-57.6,0.0,top
